1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240219_172208-e955f761
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-19_17-22-08
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
44 step:1788, recons_loss:0.15719720721244812, g_loss:0.8318008780479431, d_loss:1.3538286685943604, real_loss:0.7670940160751343, fake_loss:0.5867346525192261
45 step:1838, recons_loss:0.16849902272224426, g_loss:0.7649622559547424, d_loss:1.3798383474349976, real_loss:0.7125526666641235, fake_loss:0.667285680770874
46 step:1872, recons_loss:0.1607111543416977, g_loss:0.6323375105857849, d_loss:1.3481686115264893, real_loss:0.5640371441841125, fake_loss:0.7841314673423767
47 step:1922, recons_loss:0.15843002498149872, g_loss:0.8011637330055237, d_loss:1.299373745918274, real_loss:0.68505859375, fake_loss:0.6143151521682739
48 step:1972, recons_loss:0.161017507314682, g_loss:0.5952484011650085, d_loss:1.3601605892181396, real_loss:0.5019047260284424, fake_loss:0.858255922794342
49 step:2022, recons_loss:0.1514863222837448, g_loss:0.8175727725028992, d_loss:1.3410035371780396, real_loss:0.7416268587112427, fake_loss:0.5993766784667969
50 step:2072, recons_loss:0.17661534249782562, g_loss:0.7613442540168762, d_loss:1.3786934614181519, real_loss:0.7283095717430115, fake_loss:0.6503838896751404
51 step:2106, recons_loss:0.16685360670089722, g_loss:0.7779666781425476, d_loss:1.4257184267044067, real_loss:0.79618239402771, fake_loss:0.6295360326766968
52 step:2156, recons_loss:0.170160174369812, g_loss:0.8363081812858582, d_loss:1.2863030433654785, real_loss:0.6905027627944946, fake_loss:0.5958002805709839
53 step:2206, recons_loss:0.1595226228237152, g_loss:0.7998790740966797, d_loss:1.3501193523406982, real_loss:0.674467921257019, fake_loss:0.6756513714790344
54 step:2256, recons_loss:0.15508849918842316, g_loss:0.647484302520752, d_loss:1.3749430179595947, real_loss:0.55876624584198, fake_loss:0.8161767721176147
55 step:2306, recons_loss:0.15067555010318756, g_loss:0.853615403175354, d_loss:1.1965833902359009, real_loss:0.5877174139022827, fake_loss:0.6088659763336182
56 step:2340, recons_loss:0.15766076743602753, g_loss:0.661155104637146, d_loss:1.350630521774292, real_loss:0.5858435034751892, fake_loss:0.764786958694458
57 step:2390, recons_loss:0.17933858931064606, g_loss:1.0165613889694214, d_loss:1.4849594831466675, real_loss:1.021479845046997, fake_loss:0.4634796380996704
58 step:2440, recons_loss:0.16204321384429932, g_loss:0.8811891078948975, d_loss:1.3768645524978638, real_loss:0.8231291770935059, fake_loss:0.5537353754043579
59 step:2490, recons_loss:0.1523776650428772, g_loss:0.7541212439537048, d_loss:1.2382969856262207, real_loss:0.5882558226585388, fake_loss:0.6500411033630371
