1 [SwanLab-INFO]:        Experiment GAN has been registered.
2 [SwanLab-INFO]:        Run data will be saved locally in C:\LearningGit\Learning Project\GAN\logs\run-20240221_172140-cc096f50
3 [SwanLab-INFO]:        Experiment_name: GAN_2024-02-21_17-21-40
4 [SwanLab-INFO]:        Run `swanlab watch` to view SwanLab Experiment Dashboard
5 use gpu for training
6 step:0, recons_loss:0.6928392052650452, g_loss:0.7481929063796997, d_loss:1.3883299827575684, real_loss:0.6747789978981018, fake_loss:0.7135509252548218
41 step:1654, recons_loss:0.11642622947692871, g_loss:0.00582146318629384, d_loss:6.807972567912657e-07, real_loss:5.289916771289427e-07, fake_loss:1.5180560808403243e-07
42 step:1704, recons_loss:0.11844827234745026, g_loss:0.0059225535951554775, d_loss:8.512295153195737e-07, real_loss:7.115311291272519e-07, fake_loss:1.396984146140312e-07
43 step:1754, recons_loss:0.12544509768486023, g_loss:0.006272382568567991, d_loss:4.675241029872268e-07, real_loss:3.399328818431968e-07, fake_loss:1.2759122114403e-07
44 step:1804, recons_loss:0.12281497567892075, g_loss:0.0061413599178195, d_loss:4.123928192711901e-06, real_loss:3.512980583764147e-06, fake_loss:6.109478363214293e-07
45 step:1854, recons_loss:0.11988398432731628, g_loss:0.005994460079818964, d_loss:1.2554237400763668e-06, real_loss:9.946533054971951e-07, fake_loss:2.6077037773575285e-07
46 step:1872, recons_loss:0.12564897537231445, g_loss:0.006282690912485123, d_loss:3.6154315239400603e-06, real_loss:3.373287654540036e-06, fake_loss:2.421439262434433e-07
47 step:1922, recons_loss:0.1195647343993187, g_loss:0.0059783365577459335, d_loss:5.392361686062941e-07, real_loss:4.3958462470072845e-07, fake_loss:9.965153680013827e-08
48 step:1972, recons_loss:0.11631018668413162, g_loss:0.005815655458718538, d_loss:6.509947070298949e-07, real_loss:5.047770628152648e-07, fake_loss:1.4621767263633956e-07
49 step:2022, recons_loss:0.1198028028011322, g_loss:0.005990205332636833, d_loss:2.9988592586960294e-07, real_loss:2.3469334564651945e-07, fake_loss:6.519259443393821e-08
50 step:2072, recons_loss:0.11898714303970337, g_loss:0.0059495591558516026, d_loss:1.1147949408041313e-06, real_loss:9.126978852691536e-07, fake_loss:2.0209706974583241e-07
51 step:2122, recons_loss:0.12150426208972931, g_loss:0.006075441371649504, d_loss:7.972124649313628e-07, real_loss:5.690383773071517e-07, fake_loss:2.2817407341335638e-07
